Date,Open,High,Low,Close,Average,Adj Close,Volume
1/1/15,4760.240234,4777.009766,4563.109863,4635.240234,4670.059815,4635.240234,38719030000
2/1/15,4650.600098,4989.25,4580.459961,4963.529785,4784.854981,4963.529785,35773090000
3/1/15,4973.430176,5042.140137,4825.930176,4900.879883,4934.035157,4900.879883,41204240000
4/1/15,4894.359863,5119.830078,4844.390137,4941.419922,4982.110108,4941.419922,37409760000
5/1/15,4966.319824,5111.540039,4888.169922,5070.029785,4999.854981,5070.029785,34288670000
6/1/15,5094.939941,5164.359863,4956.22998,4986.870117,5060.294922,4986.870117,41338820000
7/1/15,5029.049805,5231.939941,4901.509766,5128.279785,5066.724854,5128.279785,40633420000
8/1/15,5134.339844,5175.259766,4292.140137,4812.709961,4733.699952,4812.709961,45767180000
9/1/15,4673.609863,4960.870117,4487.060059,4620.160156,4723.965088,4620.160156,41503920000
10/1/15,4624.459961,5095.689941,4552.339844,5053.75,4824.014893,5053.75,42348240000
11/1/15,5065.640137,5163.470215,4908.660156,5108.669922,5036.065186,5108.669922,36834860000
12/1/15,5129.640137,5176.77002,4871.589844,5007.410156,5024.179932,5007.410156,40617940000
