,Symbol,Date,Price
257,AABA,2011-12-31,15.6785713333
258,AABA,2012-01-31,15.6760001
259,AABA,2012-02-29,15.3715
260,AABA,2012-03-31,15.0027272727
261,AABA,2012-04-30,15.2535
262,AABA,2012-05-31,15.3581818182
263,AABA,2012-06-30,15.4204761905
264,AABA,2012-07-31,15.7747619524
265,AABA,2012-08-31,15.2260869565
266,AABA,2012-09-30,15.5600000526
267,AABA,2012-10-31,16.1242857619
268,AABA,2012-11-30,17.9776191905
269,AABA,2012-12-31,19.41300005
270,AABA,2013-01-31,19.8157145238
271,AABA,2013-02-28,20.6899998947
272,AABA,2013-03-31,22.7160002
273,AABA,2013-04-30,24.0222728636
274,AABA,2013-05-31,26.1595452273
275,AABA,2013-06-30,25.9115
276,AABA,2013-07-31,27.3045455909
277,AABA,2013-08-31,27.5254544545
278,AABA,2013-09-30,30.1715001
279,AABA,2013-10-31,33.4530433043
280,AABA,2013-11-30,34.82449995
281,AABA,2013-12-31,39.5123809048
282,AABA,2014-01-31,39.2552378095
283,AABA,2014-02-28,37.4357896316
284,AABA,2014-03-31,37.7147622381
285,AABA,2014-04-30,35.0023811905
286,AABA,2014-05-31,34.7642855714
287,AABA,2014-06-30,34.9585713333
288,AABA,2014-07-31,35.0972724091
289,AABA,2014-08-31,36.8761905238
290,AABA,2014-09-30,40.6723808095
291,AABA,2014-10-31,41.3939128696
292,AABA,2014-11-30,50.1515791579
293,AABA,2014-12-31,50.3404543182
294,AABA,2015-01-31,47.98099995
295,AABA,2015-02-28,43.8215786842
296,AABA,2015-03-31,43.935909
297,AABA,2015-04-30,44.4619049048
298,AABA,2015-05-31,43.2275
299,AABA,2015-06-30,41.2595454091
300,AABA,2015-07-31,38.4799999091
301,AABA,2015-08-31,34.8895234762
302,AABA,2015-09-30,30.5461905238
303,AABA,2015-10-31,32.6445453182
304,AABA,2015-11-30,33.58050035
305,AABA,2015-12-31,33.8931817727
306,AABA,2016-01-31,30.0842106842
307,AABA,2016-02-29,29.18100025
308,AABA,2016-03-31,34.3290907727
309,AABA,2016-04-30,36.8219045238
310,AABA,2016-05-31,36.9533329048
311,AABA,2016-06-30,36.9372733182
312,AABA,2016-07-31,38.1564998
313,AABA,2016-08-31,41.2604348261
314,AABA,2016-09-30,43.4409519524
315,AABA,2016-10-31,42.481428381
316,AABA,2016-11-30,40.8414281429
317,AABA,2016-12-31,39.671904619
318,AABA,2017-01-31,42.42550015
319,AABA,2017-02-28,45.0184206316
320,AABA,2017-03-31,46.268260913
321,AABA,2017-04-30,47.2636843684
322,AABA,2017-05-31,49.7259095909
323,AABA,2017-06-30,50.5874995
324,AAPL,2004-01-31,1.62867845
325,AAPL,2004-02-29,1.62890989474
326,AAPL,2004-03-31,1.8713043913
327,AAPL,2004-04-30,1.96615647619
328,AAPL,2004-05-31,1.93414285
329,AAPL,2004-06-30,2.23799314286
330,AAPL,2004-07-31,2.23493195238
331,AAPL,2004-08-31,2.26775968182
332,AAPL,2004-09-30,2.62040819048
333,AAPL,2004-10-31,3.16891157143
334,AAPL,2004-11-30,4.10462585714
335,AAPL,2004-12-31,4.60704540909
336,AAPL,2005-01-31,4.94489285
337,AAPL,2005-02-28,5.98086468421
338,AAPL,2005-03-31,5.99967527273
339,AAPL,2005-04-30,5.53299328571
340,AAPL,2005-05-31,5.33170071429
341,AAPL,2005-06-30,5.37012990909
342,AAPL,2005-07-31,5.8444286
343,AAPL,2005-08-31,6.43788821739
344,AAPL,2005-09-30,7.28782319048
345,AAPL,2005-10-31,7.705442
346,AAPL,2005-11-30,9.07945561905
347,AAPL,2005-12-31,10.4295918095
348,AAPL,2006-01-31,11.1157144
349,AAPL,2006-02-28,9.93127815789
350,AAPL,2006-03-31,9.14788817391
351,AAPL,2006-04-30,9.57195494737
352,AAPL,2006-05-31,9.5403245
353,AAPL,2006-06-30,8.387078
354,AAPL,2006-07-31,8.2672144
355,AAPL,2006-08-31,9.54484469565
356,AAPL,2006-09-30,10.5510001
357,AAPL,2006-10-31,11.0179869545
358,AAPL,2006-11-30,12.1921089524
359,AAPL,2006-12-31,12.35307145
360,AAPL,2007-01-31,12.6973572
361,AAPL,2007-02-28,12.2468420526
362,AAPL,2007-03-31,12.9433116818
363,AAPL,2007-04-30,13.38642865
364,AAPL,2007-05-31,15.5436363182
365,AAPL,2007-06-30,17.3850340476
366,AAPL,2007-07-31,19.4429932381
367,AAPL,2007-08-31,18.5490681304
368,AAPL,2007-09-30,20.2971430526
369,AAPL,2007-10-31,24.5443477826
370,AAPL,2007-11-30,24.9511565238
371,AAPL,2007-12-31,27.215
372,AAPL,2008-01-31,22.911156381
373,AAPL,2008-02-29,17.87900005
374,AAPL,2008-03-31,18.68900005
375,AAPL,2008-04-30,22.5981819545
376,AAPL,2008-05-31,26.394217381
377,AAPL,2008-06-30,25.4979593333
378,AAPL,2008-07-31,23.9640909091
379,AAPL,2008-08-31,24.4385035238
380,AAPL,2008-09-30,20.1776188095
381,AAPL,2008-10-31,14.1434162609
382,AAPL,2008-11-30,13.4200752105
383,AAPL,2008-12-31,13.0776622727
384,AAPL,2009-01-31,12.6821429
385,AAPL,2009-02-28,13.4391729474
386,AAPL,2009-03-31,13.9292857273
387,AAPL,2009-04-30,17.1458504286
388,AAPL,2009-05-31,18.307
389,AAPL,2009-06-30,19.9325973636
390,AAPL,2009-07-31,21.3311688636
391,AAPL,2009-08-31,23.7543538571
392,AAPL,2009-09-30,25.3980952381
393,AAPL,2009-10-31,27.5473376364
394,AAPL,2009-11-30,28.61714285
395,AAPL,2009-12-31,28.4220779545
396,AAPL,2010-01-31,29.6736088947
397,AAPL,2010-02-28,28.3993982632
398,AAPL,2010-03-31,31.9158383913
399,AAPL,2010-04-30,35.8783675714
400,AAPL,2010-05-31,35.9230711
401,AAPL,2010-06-30,37.3064935455
402,AAPL,2010-07-31,36.4214285714
403,AAPL,2010-08-31,35.903312
404,AAPL,2010-09-30,39.1215641905
405,AAPL,2010-10-31,42.9906118571
406,AAPL,2010-11-30,44.5125850952
407,AAPL,2010-12-31,45.9265587273
408,AAPL,2011-01-31,48.34000025
409,AAPL,2011-02-28,50.1689477368
410,AAPL,2011-03-31,49.6415527826
411,AAPL,2011-04-30,48.6307851
412,AAPL,2011-05-31,48.826394381
413,AAPL,2011-06-30,47.2973374091
414,AAPL,2011-07-31,53.17685705
415,AAPL,2011-08-31,53.823229913
416,AAPL,2011-09-30,56.0704762857
417,AAPL,2011-10-31,56.7471429048
418,AAPL,2011-11-30,54.9736055714
419,AAPL,2011-12-31,56.1329252381
420,AAPL,2012-01-31,61.22542845
421,AAPL,2012-02-29,71.08157155
422,AAPL,2012-03-31,82.5011039091
423,AAPL,2012-04-30,86.57185695
424,AAPL,2012-05-31,80.6675969091
425,AAPL,2012-06-30,82.0803397143
426,AAPL,2012-07-31,85.8668710476
427,AAPL,2012-08-31,91.8137266522
428,AAPL,2012-09-30,97.3669181579
429,AAPL,2012-10-31,90.6734687619
430,AAPL,2012-11-30,80.6208165238
431,AAPL,2012-12-31,76.0078567
432,AAPL,2013-01-31,71.1174831429
433,AAPL,2013-02-28,65.2584217368
434,AAPL,2013-03-31,63.1201425
435,AAPL,2013-04-30,59.9664282273
436,AAPL,2013-05-31,63.7789613636
437,AAPL,2013-06-30,60.79114265
438,AAPL,2013-07-31,61.3081817273
439,AAPL,2013-08-31,69.2633764545
440,AAPL,2013-09-30,68.59778555
441,AAPL,2013-10-31,72.1063975217
442,AAPL,2013-11-30,74.94521405
443,AAPL,2013-12-31,79.951087619
444,AAPL,2014-01-31,76.7779592381
445,AAPL,2014-02-28,75.2257141053
446,AAPL,2014-03-31,76.173468381
447,AAPL,2014-04-30,77.2963271429
448,AAPL,2014-05-31,86.1708174286
449,AAPL,2014-06-30,91.8854425714
450,AAPL,2014-07-31,95.6259085
451,AAPL,2014-08-31,98.4366665714
452,AAPL,2014-09-30,100.548572048
453,AAPL,2014-10-31,101.699565739
454,AAPL,2014-11-30,113.285262632
455,AAPL,2014-12-31,112.411364182
456,AAPL,2015-01-31,110.64150085
457,AAPL,2015-02-28,125.432104789
458,AAPL,2015-03-31,125.970908364
459,AAPL,2015-04-30,127.291427571
460,AAPL,2015-05-31,128.76149975
461,AAPL,2015-06-30,127.806817455
462,AAPL,2015-07-31,125.335454818
463,AAPL,2015-08-31,113.394762333
464,AAPL,2015-09-30,112.79761881
465,AAPL,2015-10-31,113.36
466,AAPL,2015-11-30,118.16249965
467,AAPL,2015-12-31,111.726818091
468,AAPL,2016-01-31,98.4289461579
469,AAPL,2016-02-29,95.7464999
470,AAPL,2016-03-31,104.267272955
471,AAPL,2016-04-30,106.73904781
472,AAPL,2016-05-31,94.9747615714
